ID,Date,Block,Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Latitude,Longitude
12014684,3/17/2020 21:30,039XX N LECLAIRE AVE,THEFT,STREET,FALSE,FALSE,1634,16,45,15,1141659,1925649,2020,41.95205195,-87.75466037
11859805,10/13/2019 20:30,024XX W CHICAGO AVE,THEFT,GROCERY FOOD STORE,FALSE,FALSE,1221,12,26,24,1160005,1905256,2019,41.8957324,-87.68778438
12571973,12/19/2021 7:23,042XX S MOZART ST,BATTERY,SIDEWALK,TRUE,TRUE,921,9,15,58,1158067,1876425,2021,41.81665685,-87.69568861
11863808,10/5/2019 18:30,0000X N LOOMIS ST,THEFT,RESIDENCE,FALSE,FALSE,1224,12,27,28,1166986,1900306,2019,41.88200224,-87.66228698
11859827,10/13/2019 19:50,011XX W JACKSON BLVD,THEFT,APPLIANCE STORE,TRUE,FALSE,1232,12,25,28,1168933,1898798,2019,41.87782218,-87.65518141
11859127,10/13/2019 0:05,064XX S VERNON AVE,BATTERY,APARTMENT,FALSE,TRUE,312,3,20,42,1180357,1862449,2019,41.77782247,-87.61435278
11859444,10/13/2019 8:00,065XX S DR MARTIN LUTHER KING JR DR,BATTERY,APARTMENT,FALSE,TRUE,312,3,20,69,1180044,1861796,2019,41.77603775,-87.61552021
11641644,3/31/2019 9:30,005XX N ogden ave,THEFT,RESTAURANT,FALSE,FALSE,1215,12,1,24,,,2019,,
11860747,10/13/2019 18:00,085XX S KEDVALE AVE,THEFT,STREET,FALSE,FALSE,834,8,18,70,1150232,1847642,2019,41.73782764,-87.72517626
11859202,10/13/2019 5:55,057XX N WINTHROP AVE,BATTERY,APARTMENT,TRUE,TRUE,2022,20,48,77,1167828,1938305,2019,41.98625526,-87.65809622
11642710,3/31/2019 1:00,015XX N WELLS ST,THEFT,BAR OR TAVERN,FALSE,FALSE,1821,18,27,8,,,2019,,
12015216,3/16/2020 0:05,049XX S CALUMET AVE,THEFT,STREET,FALSE,FALSE,224,2,3,38,1179270,1872264,2020,41.80478063,-87.61803833
11642709,3/31/2019 11:00,0000X E MONROE ST,THEFT,HOTEL/MOTEL,FALSE,FALSE,112,1,42,32,,,2019,,
11863935,10/12/2019 15:00,014XX S LAKE SHORE DR E,THEFT,OTHER,FALSE,FALSE,132,1,4,33,1178891,1893830,2019,41.86396798,-87.61877037
11641640,3/31/2019 12:30,037XX W Ogden Ave,THEFT,ATHLETIC CLUB,FALSE,FALSE,1014,10,24,29,,,2019,,
11859117,10/13/2019 1:30,079XX S DOBSON AVE,BATTERY,APARTMENT,TRUE,FALSE,624,6,8,44,1184598,1852672,2019,41.7508951,-87.5991113
11859392,10/13/2019 11:57,008XX N MICHIGAN AVE,THEFT,SMALL RETAIL STORE,FALSE,FALSE,1833,18,42,8,1177338,1906213,2019,41.89798294,-87.62409563
11859456,10/13/2019 11:15,012XX N DAMEN AVE,THEFT,STREET,FALSE,FALSE,1424,14,1,24,1162838,1908433,2019,41.90439137,-87.67729019
11864175,10/8/2019 19:30,121XX S EGGLESTON AVE,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,523,5,34,53,1175483,1824462,2019,41.67369148,-87.63335327
11859132,10/13/2019 0:21,032XX W MAYPOLE AVE,BATTERY,RESIDENCE,FALSE,TRUE,1123,11,28,27,1154662,1900797,2019,41.88360511,-87.70752754
11860109,10/13/2019 9:00,006XX W HARRISON ST,BATTERY,SIDEWALK,FALSE,FALSE,124,1,25,28,1172277,1897565,2019,41.87436558,-87.64293958
11859584,10/13/2019 13:08,080XX S COTTAGE GROVE AVE,BATTERY,ABANDONED BUILDING,FALSE,FALSE,631,6,8,44,1182953,1851845,2019,41.74866409,-87.60516496
11859633,10/13/2019 17:23,058XX S ARCHER AVE,THEFT,SMALL RETAIL STORE,FALSE,FALSE,811,8,23,56,1139843,1868644,2019,41.79565615,-87.76272916
11644829,4/1/2019 15:00,005XX W ARLINGTON PL,THEFT,APARTMENT,FALSE,FALSE,1935,19,43,7,,,2019,,
11647702,2/23/2019 23:00,0000X E 75TH ST,THEFT,BAR OR TAVERN,FALSE,FALSE,623,6,6,69,,,2019,,
11859847,10/13/2019 18:40,092XX S PARNELL AVE,THEFT,RESIDENCE,FALSE,TRUE,2223,22,21,73,1174257,1843551,2019,41.72610179,-87.63727587
11859193,10/13/2019 5:00,076XX S ADA ST,THEFT,SIDEWALK,FALSE,TRUE,612,6,17,71,1168768,1853958,2019,41.75478011,-87.65708293
11642696,4/1/2019 0:00,021XX W Crystal St,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1424,14,2,24,,,2019,,
