YEAR,MONTH,PROVINCE,DISTRICT,TYPE OF LOCALITY,LATITUDE,LONGITUDE,SEX,AGE,CENSUS,CASES,DEATHS
2011,NOV,MIDLANDS,KWEKWE,RESETTLEMENT,-18.37816784,28.98951802,ALL,ADULT,570,6,0
2007,JAN,MATABELELAND SOUTH,INSIZA,RESETTLEMENT,-20.0774999,29.60849015,all,ALL,25,5,2
2011,NOV,MIDLANDS,KWEKWE,COMMERCIAL,-19.72962776,29.29381783,ALL,ADULT,363,4,0
2011,MAY,MIDLANDS,KWEKWE,RESETTLEMENT,-18.70143519,31.85534762,MALE,ADULT,1239,1,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-18.70143519,31.85534762,MALE,ADULT,998,1,0
2011,FEB,MIDLANDS,KWEKWE,COMMUNAL,-19.97689303,29.01357773,MALE,ADULT,1853,1,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-32.67694051,23.70513797,ALL,ALL,2400,2,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-18.0211777,31.49812391,ALL,ALL,1479,16,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-18.0211777,31.49812391,MALE,ADULT,1100,2,0
2011,MAY,MIDLANDS,GWERU,RESETTLEMENT,-21.84312049,29.27763329,ALL,ALL,1375,66,6
2006,FEB,MASHONALAND WEST,HURUNGWE,COMMUNAL,-18.30781264,31.2042946,MALE,ADULT,21,5,0
2008,JUN,MASHONALAND EAST,MARONDERA,COMMERCIAL,-17.89114209,30.32732324,FEMALE,ADULT,96,,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-19.15584791,30.35327418,ALL,ADULT,1104,7,0
2011,JUL,MASHONALAND CENTRAL,RUSHINGA,COMMUNAL,-17.89114209,30.32732324,ALL,ADULT,1565,18,0
2011,FEB,MASHONALAND CENTRAL,SHAMVA,COMMUNAL,-20.02952023,29.14716797,MALE,ADULT,2568,1,0
2007,JAN,MATABELELAND SOUTH,UMZINGWANE,COMMERCIAL,-17.77828024,29.98296488,all,ALL,60,31,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-16.93112859,29.12948876,ALL,ADULT,1810,6,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-18.92150657,30.38546237,FEMALE,ADULT,2060,6,0
2011,NOV,MIDLANDS,KWEKWE,COMMERCIAL,-20.29410822,29.61592691,ALL,ALL,1000,12,0
2011,MAY,MIDLANDS,KWEKWE,COMMERCIAL,-32.67694051,23.70513797,MALE,ADULT,16,2,0
2011,MAY,MIDLANDS,KWEKWE,RESETTLEMENT,-18.91292782,29.58223892,MALE,ADULT,754,1,0
2011,MAY,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.81048523,28.83509444,FEMALE,ADULT,16,1,0
2011,FEB,MASHONALAND CENTRAL,BINDURA,RESETTLEMENT,-17.02790875,31.61427955,MALE,ADULT,487,10,0
2011,FEB,MASHONALAND CENTRAL,BINDURA,RESETTLEMENT,-18.32968218,29.28501083,ALL,ADULT,1845,1,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-17.89114209,30.32732324,ALL,ADULT,1066,1,0
2011,MAY,MIDLANDS,KWEKWE,COMMERCIAL,-19.40458858,29.28447303,ALL,ADULT,122,14,5
2011,JAN,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.98062111,30.26747357,FEMALE,ADULT,6,1,0
